,relevancy,sentiment,price_T-0D,d%_T-3D,d%_T-1D,qwasr_d%_T+1D,qwasr_d%_T+3D,true_d%_T+1D,true_d%_T+3D
0,0.8,-0.5,0.8175232054286683,0.23154546581047888,-0.0018987053812152684,5.7245809616634125e-09,5.702146080082901e-09,0.23772411547544275,0.09579367977553917
1,0.3999999999999999,0.8,0.8175232054286683,0.23154546581047888,-0.0018987053812152684,0.00013493543912767743,0.00014324993908344292,0.23772411547544275,0.09579367977553917
2,0.8999999999999999,0.5,0.8168470100133529,0.4131571921526296,0.1855056263253174,-0.1695456717743491,-0.16388849719925855,0.0015272313298932397,0.0861614505368342
3,1.0,1.0,0.8857226799804585,0.1541448189532929,0.08723372010528488,-0.21358978307846072,-0.20533988896560665,-0.2152548817523473,0.06275096700200532
4,0.3999999999999999,-0.5,0.9193391888780227,0.08737226702184864,0.20170542528336097,-0.24691040287156305,-0.2331591136345925,-0.10322048052120414,-0.27230999278309737
5,0.8999999999999999,0.95,0.9984543473011591,0.003196818425935983,-0.10829556138550904,-0.2656409531839082,-0.25800745165314,-0.23330844980695248,-0.46648588584212314
6,1.0,1.0,0.9984543473011591,0.003196818425935983,-0.10829556138550904,-0.27613315152270623,-0.25084933973095763,-0.23330844980695248,-0.46648588584212314
7,0.7,0.5,0.9560471505888812,-0.030210944690619777,0.009666235266693107,-0.3030005755976107,-0.3000578043466723,0.08896336608226635,-0.18455529131874304
8,0.8,0.5,0.9560471505888812,-0.030210944690619777,0.009666235266693107,-0.324159295383034,-0.32047878856819645,0.08896336608226635,-0.18455529131874304
9,0.8999999999999999,0.7,0.9560471505888812,-0.030210944690619777,0.009666235266693107,-0.3182101593160449,-0.3100151437604732,0.08896336608226635,-0.18455529131874304
10,0.8999999999999999,0.8,0.9560471505888812,-0.030210944690619777,0.009666235266693107,-0.31450598025546683,-0.3120403653361617,0.08896336608226635,-0.18455529131874304
11,0.8,-0.5,0.9560471505888812,-0.030210944690619777,0.009666235266693107,-0.31972550529537236,-0.3120403653361617,0.08896336608226635,-0.18455529131874304
12,0.19999999999999996,0.6,0.9599110612125641,-0.2354286371077842,0.1000916398030185,1.0782808556894111e-06,9.19370783431942e-06,-0.011618650980995295,-0.10626445891980286
13,0.8999999999999999,0.5,0.9599110612125641,-0.2354286371077842,0.1000916398030185,-0.33242604493668976,-0.3260226594074458,-0.011618650980995295,-0.10626445891980286
14,0.8999999999999999,0.5,1.0,-0.42053972329188755,-0.14814445474614052,-0.35688320476107466,-0.3494710558747211,-0.11812982538613769,-0.003967174189843043
15,0.8999999999999999,0.0,1.0,-0.42053972329188755,-0.14814445474614052,-0.35413867866383414,-0.3494710558747211,-0.11812982538613769,-0.003967174189843043
16,0.8,0.5,1.0,-0.42053972329188755,-0.14814445474614052,-0.3870729918307198,-0.3742299864524481,-0.11812982538613769,-0.003967174189843043
17,0.8999999999999999,0.9,1.0,-0.42053972329188755,-0.14814445474614052,-0.36511678305279605,-0.3577240327339635,-0.11812982538613769,-0.003967174189843043
18,1.0,-0.5,1.0,-0.42053972329188755,-0.14814445474614052,-0.4069982512966855,-0.4044909016030034,-0.11812982538613769,-0.003967174189843043
